X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.869598373,7036492.39571864,2021/02/14 00:00:00+00,788,209582,17,3948,2021/02/12 00:00:00+00,208678,12080,1297,26813,12112,126,107,437,744,891,1354,1696,6722,98759,109862,57,5262,12447,36349,37234,33571,31722,24050,28001,32,0,0,0,350
-856335.869598373,7036492.39571864,2021/02/15 00:00:00+00,821,210402,0,3948,2021/02/13 00:00:00+00,209464,12114,1299,26857,12115,126,108,438,745,895,1356,1701,6742,99173,110234,57,5317,12543,36513,37363,33683,31826,24107,28070,31,0,0,0,351
-856335.869598373,7036492.39571864,2021/02/16 00:00:00+00,744,211113,33,3980,2021/02/14 00:00:00+00,210282,12155,1305,26904,12115,128,108,440,748,898,1363,1705,6762,99601,110623,58,5364,12633,36698,37488,33805,31930,24176,28146,31,0,0,0,352
-856335.869598373,7036492.39571864,2021/02/17 00:00:00+00,650,211751,57,4036,2021/02/15 00:00:00+00,211024,12226,1309,26949,12177,130,108,443,753,900,1374,1715,6800,99975,110988,61,5403,12721,36869,37605,33897,32012,24237,28238,30,0,0,0,353
-856335.869598373,7036492.39571864,2021/02/18 00:00:00+00,901,212647,47,4082,2021/02/16 00:00:00+00,211670,12287,1315,26988,12217,130,108,445,761,904,1383,1721,6832,100301,111308,61,5430,12767,37010,37695,34007,32111,24293,28315,37,0,0,0,354
-856335.869598373,7036492.39571864,2021/02/19 00:00:00+00,763,213400,28,4109,2021/02/17 00:00:00+00,212569,12361,1322,27046,12237,130,108,448,767,911,1389,1735,6870,100775,111730,64,5468,12839,37174,37856,34162,32224,24379,28425,36,0,0,0,355
-856335.869598373,7036492.39571864,2021/02/20 00:00:00+00,988,214378,26,4135,2021/02/18 00:00:00+00,213331,12413,1326,27096,12267,132,109,454,771,915,1390,1742,6897,101149,112117,65,5511,12909,37358,37985,34281,32304,24439,28502,30,0,0,0,356
-856335.869598373,7036492.39571864,2021/02/21 00:00:00+00,679,215057,1,4136,2021/02/19 00:00:00+00,214314,12473,1331,27150,12267,133,110,459,773,926,1395,1751,6923,101634,112613,67,5578,13006,37577,38124,34443,32411,24524,28609,32,0,0,0,357
-856335.869598373,7036492.39571864,2021/02/22 00:00:00+00,686,215743,1,4137,2021/02/20 00:00:00+00,214991,12505,1331,27195,12296,134,110,462,775,930,1398,1758,6935,101969,112955,67,5621,13082,37726,38232,34548,32478,24591,28671,32,0,0,0,358
-856335.869598373,7036492.39571864,2021/02/23 00:00:00+00,575,216300,45,4181,2021/02/21 00:00:00+00,215674,12540,1335,27253,12317,137,111,464,779,935,1406,1762,6943,102296,113311,67,5666,13157,37849,38339,34645,32586,24666,28724,34,0,0,0,359
-856335.869598373,7036492.39571864,2021/02/24 00:00:00+00,574,216870,56,4237,2021/02/22 00:00:00+00,216249,12590,1337,27294,12392,137,111,465,784,940,1411,1765,6974,102572,113610,67,5701,13228,37967,38418,34732,32648,24718,28795,32,0,0,0,360
-856335.869598373,7036492.39571864,2021/02/25 00:00:00+00,613,217478,35,4271,2021/02/23 00:00:00+00,216823,12625,1340,27333,12462,138,111,471,786,944,1418,1768,6986,102858,113898,67,5732,13276,38089,38506,34830,32725,24767,28856,34,0,0,0,361
-856335.869598373,7036492.39571864,2021/02/26 00:00:00+00,776,218251,29,4300,2021/02/24 00:00:00+00,217433,12653,1343,27377,12524,138,111,473,788,945,1424,1774,6996,103164,114202,67,5760,13321,38222,38607,34926,32806,24823,28925,34,0,0,0,362
-856335.869598373,7036492.39571864,2021/02/27 00:00:00+00,738,218980,13,4316,2021/02/25 00:00:00+00,218207,12696,1348,27415,12580,138,111,478,790,951,1432,1774,7018,103560,114580,67,5803,13398,38370,38733,35049,32937,24865,29009,34,0,0,0,363
-856335.869598373,7036492.39571864,2021/02/28 00:00:00+00,612,219952,6,4319,2021/02/26 00:00:00+00,218939,12725,1351,27452,12643,139,112,479,791,955,1433,1779,7033,103910,114959,70,5871,13481,38499,38866,35158,33019,24932,29070,31,0,0,0,364
-856335.869598373,7036492.39571864,2021/03/01 00:00:00+00,687,220273,1,4319,2021/02/27 00:00:00+00,219541,12754,1357,27487,12661,141,113,479,793,957,1440,1783,7044,104204,115266,71,5906,13546,38622,38976,35261,33099,24982,29106,32,0,0,0,365
-856335.869598373,7036492.39571864,2021/03/02 00:00:00+00,369,220630,14,4333,2021/02/28 00:00:00+00,220226,12775,1360,27520,12670,142,114,480,795,957,1442,1785,7056,104555,115599,72,5956,13638,38766,39093,35343,33185,25040,29162,30,0,0,0,366
-856335.869598373,7036492.39571864,2021/03/03 00:00:00+00,566,221189,25,4357,2021/03/01 00:00:00+00,220585,12800,1361,27541,12762,142,114,482,796,957,1447,1786,7072,104719,115794,72,5980,13675,38836,39142,35400,33234,25075,29200,34,0,0,0,367
-856335.869598373,7036492.39571864,2021/03/04 00:00:00+00,462,221649,39,4396,2021/03/02 00:00:00+00,221142,12830,1365,27576,12861,142,114,483,803,961,1449,1794,7080,104997,116072,73,6014,13734,38932,39240,35490,33314,25134,29241,34,0,0,0,368
-856335.869598373,7036492.39571864,2021/03/05 00:00:00+00,522,222169,9,4405,2021/03/03 00:00:00+00,221593,12865,1368,27603,12936,142,114,486,807,965,1453,1798,7096,105215,116304,74,6043,13778,39034,39312,35554,33367,25182,29280,31,0,0,0,369
-856335.869598373,7036492.39571864,2021/03/06 00:00:00+00,539,222699,14,4419,2021/03/04 00:00:00+00,222111,12895,1370,27626,13008,143,114,487,811,968,1458,1802,7108,105490,116547,74,6076,13842,39106,39411,35635,33436,25243,29319,33,0,0,0,370
-856335.869598373,7036492.39571864,2021/03/07 00:00:00+00,525,223219,3,4422,2021/03/05 00:00:00+00,222646,12927,1373,27644,13067,146,114,488,813,973,1462,1807,7120,105785,116785,76,6103,13891,39206,39511,35726,33492,25299,29375,33,0,0,0,371
-856335.869598373,7036492.39571864,2021/03/08 00:00:00+00,437,223651,0,4422,2021/03/06 00:00:00+00,223171,12952,1373,27661,13087,147,114,490,815,978,1463,1808,7133,106055,117040,76,6141,13960,39309,39609,35807,33543,25336,29422,31,0,0,0,372
-856335.869598373,7036492.39571864,2021/03/09 00:00:00+00,311,223957,30,4452,2021/03/07 00:00:00+00,223605,12975,1376,27675,13103,148,114,492,815,981,1465,1813,7143,106270,117258,77,6171,14013,39389,39670,35891,33593,25365,29469,33,0,0,0,373
-856335.869598373,7036492.39571864,2021/03/10 00:00:00+00,631,224588,47,4499,2021/03/08 00:00:00+00,223916,13001,1377,27702,13211,150,114,492,816,982,1469,1818,7156,106429,117409,78,6198,14042,39448,39715,35931,33643,25390,29505,34,0,0,0,374
-856335.869598373,7036492.39571864,2021/03/11 00:00:00+00,592,225179,10,4509,2021/03/09 00:00:00+00,224548,13032,1381,27738,13291,151,114,497,818,983,1471,1823,7171,106747,117723,78,6245,14110,39595,39831,36023,33731,25427,29542,30,0,0,0,375
-856335.869598373,7036492.39571864,2021/03/12 00:00:00+00,646,225820,10,4518,2021/03/10 00:00:00+00,225139,13052,1384,27767,13326,153,115,498,818,985,1475,1826,7178,107048,118012,79,6280,14179,39709,39935,36128,33803,25472,29589,32,0,0,0,376
-856335.869598373,7036492.39571864,2021/03/13 00:00:00+00,543,226358,16,4534,2021/03/11 00:00:00+00,225783,13086,1390,27792,13326,153,115,499,819,992,1482,1828,7194,107359,118343,81,6314,14269,39850,40038,36235,33874,25523,29636,30,0,0,0,377
-856335.869598373,7036492.39571864,2021/03/14 00:00:00+00,384,226741,0,4534,2021/03/12 00:00:00+00,226324,13117,1394,27816,13326,153,115,503,826,995,1485,1831,7205,107628,118615,81,6339,14354,39971,40122,36315,33925,25567,29687,29,0,0,0,378
